n1,n2,Epoch,RMSE-Train,AAE-Train,R2-Train,RMSE-Test,AAE-Test,R2-Test
10,6,1,1.046546486,0.780550736,-0.002202047,1.135672983,0.878614456,-0.002608249
10,6,2,1.044048953,0.771692859,0.002575661,1.131492601,0.868804071,0.004759314
10,6,3,1.040732593,0.771779567,0.008902115,1.128498303,0.869232304,0.010019806
10,6,4,1.037494688,0.77483185,0.015059487,1.126203994,0.873193733,0.0140411
10,6,5,1.034675549,0.77745864,0.020404887,1.12417585,0.877165991,0.017589065
10,6,6,1.031858369,0.777446391,0.025732043,1.121612455,0.877778996,0.02206423
10,6,7,1.0286784,0.774360047,0.031727764,1.118139438,0.874759095,0.028111112
10,6,8,1.025119805,0.768998091,0.038415431,1.113889547,0.869022934,0.035485098
10,6,9,1.021261937,0.762369973,0.045639339,1.10912296,0.861752738,0.043722194
10,6,10,1.017073718,0.755235269,0.053450999,1.10399176,0.854351756,0.052549893
10,6,11,1.012395063,0.748201135,0.062139436,1.09847494,0.847378834,0.061995348
10,6,12,1.007046684,0.741420615,0.072022502,1.09243951,0.840851506,0.072274524
10,6,13,1.00090536,0.734581379,0.083306257,1.085719732,0.834507277,0.08365261
10,6,14,0.993894019,0.727348961,0.096104151,1.078143747,0.827858157,0.096396255
10,6,15,0.98595351,0.719271524,0.110489432,1.069536594,0.820351871,0.110766159
10,6,16,0.977037037,0.709907119,0.126505264,1.059733146,0.811473136,0.126993009
10,6,17,0.967124661,0.699794501,0.144139166,1.048603488,0.801431445,0.145233917
10,6,18,0.956243821,0.689554288,0.163288917,1.03608164,0.789522356,0.165526325
10,6,19,0.944480485,0.680553496,0.183748081,1.022194949,0.777740439,0.187745461
10,6,20,0.931947119,0.672482324,0.205267857,1.007079119,0.766060871,0.211590466
10,6,21,0.918702644,0.664510709,0.227696203,0.990945659,0.753187753,0.23664885
10,6,22,0.904720775,0.656730105,0.251024927,0.973994425,0.739461841,0.262541429
10,6,23,0.889996826,0.648517156,0.27520506,0.956344673,0.726417209,0.289026242
10,6,24,0.874659514,0.640851754,0.29997059,0.938068611,0.71394847,0.315940477
10,6,25,0.858983286,0.633172409,0.324838508,0.91929469,0.700961304,0.34304717
10,6,26,0.843362764,0.625215263,0.349170722,0.900267095,0.686267141,0.369960993
10,6,27,0.828243276,0.617904103,0.372297187,0.881323774,0.66986604,0.396196458
10,6,28,0.814001772,0.611903495,0.393698088,0.862864406,0.652315875,0.421224959
10,6,29,0.800841247,0.607785357,0.413144602,0.845359851,0.636349816,0.444469483
10,6,30,0.788676966,0.604209871,0.430837142,0.829204923,0.623974341,0.465499115
10,6,31,0.777041332,0.600512682,0.447507384,0.814329677,0.615725199,0.484504107
10,6,32,0.765464777,0.596260095,0.463847098,0.800311346,0.609187858,0.502099418
10,6,33,0.753809407,0.591198683,0.480050286,0.786800918,0.603158912,0.518768108
10,6,34,0.741812054,0.584018416,0.496469235,0.773380912,0.595139792,0.535044293
10,6,35,0.729064893,0.575721286,0.51362571,0.759733227,0.585763349,0.551309445
10,6,36,0.715543734,0.565254223,0.531498912,0.74618867,0.574694169,0.567165384
10,6,37,0.701254918,0.554046763,0.550023247,0.733315208,0.564850845,0.581971329
10,6,38,0.686029421,0.54174328,0.569350726,0.721478353,0.556934942,0.595357686
10,6,39,0.670089408,0.528498575,0.589130651,0.711246025,0.551281257,0.606753931
10,6,40,0.653832526,0.514420674,0.608824829,0.703327572,0.544920213,0.615461374
10,6,41,0.637520829,0.50020361,0.628099301,0.698313446,0.538497603,0.620924694
10,6,42,0.621700038,0.486443419,0.646328532,0.696600577,0.535735602,0.622782055
10,6,43,0.606842998,0.47356898,0.663030241,0.697420336,0.535490443,0.621893713
10,6,44,0.593127937,0.461236413,0.678089608,0.699138717,0.535889496,0.620028178
10,6,45,0.580751837,0.451422089,0.691383301,0.700787171,0.53656829,0.618234244
10,6,46,0.569330363,0.444352451,0.70340288,0.701737775,0.535382642,0.617197825
10,6,47,0.55818152,0.437380571,0.714905299,0.700924808,0.531732096,0.618084268
10,6,48,0.546782512,0.429527699,0.72643063,0.696456948,0.525145953,0.622937593
10,6,49,0.534774702,0.421033838,0.738314327,0.686935947,0.516419853,0.633176481
10,6,50,0.522474379,0.41161252,0.750213919,0.673764657,0.506526337,0.64710855
10,6,51,0.510278906,0.400917153,0.761738721,0.659744836,0.49447749,0.661641817
10,6,52,0.498716862,0.389117777,0.772413582,0.645980653,0.483268354,0.675612801
10,6,53,0.488017865,0.378661173,0.782073683,0.631651107,0.471739708,0.689844699
10,6,54,0.47815359,0.370413989,0.790794509,0.617661828,0.459687633,0.703430688
10,6,55,0.469028637,0.363398448,0.79870316,0.606857127,0.451504136,0.713715656
10,6,56,0.460542165,0.356516339,0.805921676,0.599822974,0.445410972,0.720313904
10,6,57,0.452804774,0.350369583,0.812388165,0.594438593,0.441127154,0.725312637
10,6,58,0.445882033,0.345523387,0.818080949,0.589544119,0.438031718,0.729817443
10,6,59,0.439769722,0.341666857,0.823034386,0.586140946,0.436364367,0.732927724
10,6,60,0.434145479,0.338165284,0.82753189,0.583898925,0.434928495,0.734966949
10,6,61,0.428740724,0.334224446,0.831799334,0.580533131,0.432969747,0.738013625
10,6,62,0.423430546,0.329701286,0.835940038,0.575087167,0.43001661,0.742905943
10,6,63,0.418445715,0.325249697,0.839780089,0.569110019,0.426118267,0.748222366
10,6,64,0.414065008,0.3208786,0.843117212,0.563735918,0.421788207,0.752954984
10,6,65,0.41049116,0.316882591,0.845813676,0.558227175,0.416624217,0.757759567
10,6,66,0.407580075,0.313407659,0.847992811,0.552366452,0.412221917,0.76281934
10,6,67,0.404987314,0.310321787,0.849920603,0.547833898,0.409449253,0.766695837
10,6,68,0.402334391,0.307435642,0.851880393,0.544852125,0.407067251,0.769228601
10,6,69,0.399459887,0.305180669,0.853989332,0.54159746,0.404744133,0.771977385
10,6,70,0.396447958,0.303304139,0.856182873,0.537952235,0.40230379,0.77503647
10,6,71,0.393489524,0.301586642,0.858321293,0.535008021,0.399653556,0.777492184
10,6,72,0.390732497,0.299712678,0.860299712,0.531844418,0.396786964,0.780115865
10,6,73,0.388151559,0.298043106,0.862139164,0.527201993,0.393333986,0.783937811
10,6,74,0.385632127,0.29599984,0.863923023,0.521912605,0.389467638,0.788251542
10,6,75,0.383008411,0.293634833,0.865768371,0.516724274,0.384888052,0.792440597
10,6,76,0.380199858,0.291036898,0.867729761,0.511014767,0.379840354,0.797002081
10,6,77,0.377214103,0.28819523,0.869799072,0.504845358,0.37511223,0.801874024
10,6,78,0.374156412,0.285702947,0.87190133,0.499391076,0.371110009,0.806131951
10,6,79,0.371161035,0.283345436,0.873944154,0.494757916,0.367557225,0.809712532
10,6,80,0.368331769,0.281304618,0.875858612,0.490099542,0.364311941,0.813278951
10,6,81,0.365712728,0.279545846,0.877617763,0.485649998,0.361048731,0.816653988
10,6,82,0.363253564,0.277797224,0.8792581,0.481862825,0.35771418,0.819502359
10,6,83,0.36087203,0.275896269,0.880836107,0.477897648,0.354658528,0.822460713
10,6,84,0.358521521,0.273898139,0.882383379,0.473391341,0.351806905,0.825793119
10,6,85,0.356250462,0.271831534,0.883868748,0.469154337,0.349114323,0.828897578
10,6,86,0.354157018,0.26996338,0.885229588,0.465147021,0.346581463,0.831808063
10,6,87,0.352303896,0.268279183,0.886427515,0.460932849,0.344196784,0.834841852
10,6,88,0.350680278,0.267242068,0.887471917,0.457086057,0.342019041,0.837587058
10,6,89,0.349202583,0.266308797,0.888418259,0.453851289,0.339939686,0.839877696
10,6,90,0.347774995,0.265245916,0.889328717,0.450612265,0.338046398,0.842155046
10,6,91,0.346332362,0.264225137,0.890244981,0.447381858,0.336445209,0.844410092
10,6,92,0.344857501,0.263134223,0.891177778,0.444513393,0.335062972,0.846398879
10,6,93,0.343378063,0.261897368,0.892109469,0.441616032,0.333787515,0.848394713
10,6,94,0.34193509,0.260579735,0.893014338,0.438554867,0.332957425,0.850489203
10,6,95,0.340561422,0.259237886,0.893872205,0.435881431,0.332134473,0.852306486
10,6,96,0.339263817,0.257851024,0.8946794,0.433535621,0.33120448,0.853891912
10,6,97,0.338022046,0.256444555,0.895448976,0.431276991,0.330044878,0.855410331
10,6,98,0.33681035,0.255153757,0.896197193,0.429556471,0.328777775,0.856561671
10,6,99,0.3356116,0.253879095,0.896934773,0.428356213,0.327486302,0.857362136
10,6,100,0.33442344,0.252704959,0.897663241,0.427240482,0.32629982,0.858104221
10,6,101,0.333252924,0.251456152,0.898378366,0.42642395,0.325251165,0.858646078
10,6,102,0.332102932,0.25013739,0.899078509,0.425877801,0.324235377,0.859007928
10,6,103,0.330971558,0.248843098,0.899764956,0.425103719,0.323208225,0.859520002
10,6,104,0.329858761,0.247414194,0.900437846,0.42425965,0.322115069,0.860077311
10,6,105,0.328769585,0.2459203,0.901094258,0.423484004,0.32094877,0.860588466
10,6,106,0.327713156,0.244522918,0.901728861,0.422444714,0.319959038,0.861271898
10,6,107,0.326695313,0.243276253,0.902338353,0.421404611,0.319112774,0.861954183
10,6,108,0.325712298,0.242208498,0.902925189,0.420600914,0.318344633,0.862480239
10,6,109,0.324753662,0.241363407,0.903495769,0.419710102,0.317697613,0.863062142
10,6,110,0.323808696,0.24057578,0.904056567,0.41890462,0.317134554,0.863587244
10,6,111,0.322869926,0.239771711,0.904612069,0.418272003,0.316611026,0.863998945
10,6,112,0.321935315,0.238954699,0.905163509,0.417411152,0.316127519,0.86455818
10,6,113,0.321008032,0.23813822,0.905709045,0.416466242,0.315635275,0.865170696
10,6,114,0.32009463,0.237287447,0.906244876,0.415495098,0.315115273,0.865798771
10,6,115,0.319202459,0.236383791,0.906766778,0.414240384,0.314604363,0.86660807
10,6,116,0.318335765,0.23545954,0.907272381,0.412995046,0.314098893,0.867408901
10,6,117,0.317492985,0.23454977,0.907762716,0.411834519,0.313621084,0.868153023
10,6,118,0.316668919,0.23371652,0.908240906,0.410605175,0.313205671,0.868938987
10,6,119,0.315859474,0.23299877,0.908709402,0.409579586,0.312822789,0.869592884
10,6,120,0.315064099,0.232370542,0.909168586,0.408660967,0.312458316,0.870177191
10,6,121,0.314284604,0.231736194,0.909617479,0.407698968,0.312088276,0.870787684
10,6,122,0.313522585,0.231153057,0.910055233,0.406873029,0.311651033,0.871310685
10,6,123,0.312777517,0.230542305,0.910482222,0.405987183,0.311133163,0.871870441
10,6,124,0.312047014,0.229889932,0.910899878,0.405032026,0.310520442,0.872472627
10,6,125,0.311328511,0.229220386,0.91130972,0.404164609,0.309801541,0.873018267
10,6,126,0.310621081,0.228542572,0.911712323,0.403218913,0.309014507,0.873611816
10,6,127,0.309925715,0.227854399,0.912107167,0.402326224,0.308235292,0.87417082
10,6,128,0.309244019,0.227179392,0.912493391,0.401518593,0.307490918,0.874675493
10,6,129,0.308576297,0.226532458,0.912870873,0.400647398,0.306773027,0.875218748
10,6,130,0.30792093,0.22593019,0.913240577,0.399852563,0.306029911,0.875713358
10,6,131,0.307275148,0.225346943,0.913604105,0.39901034,0.305300857,0.876236385
10,6,132,0.30663717,0.224762473,0.91396249,0.398102309,0.304592302,0.876799044
10,6,133,0.306006608,0.224188754,0.914315978,0.397235275,0.303871737,0.877335103
10,6,134,0.305383508,0.223623474,0.914664567,0.396277314,0.303194694,0.87792602
10,6,135,0.304767363,0.223129713,0.915008567,0.395353506,0.302519244,0.878494517
10,6,136,0.304157096,0.222631506,0.9153486,0.394422535,0.301854215,0.879066082
10,6,137,0.303552078,0.222104372,0.915685036,0.3934352,0.301203862,0.879670778
10,6,138,0.302952406,0.221575789,0.916017839,0.392484914,0.300517612,0.880251351
10,6,139,0.302358698,0.221023223,0.916346682,0.391448413,0.299832797,0.880882997
10,6,140,0.301771353,0.220506191,0.916671367,0.390432767,0.299113394,0.881500313
10,6,141,0.301190307,0.219984087,0.916991948,0.389415036,0.298385851,0.882117288
10,6,142,0.300615252,0.219488559,0.917308616,0.388408122,0.297679585,0.882726121
10,6,143,0.300045745,0.219020832,0.917621633,0.38750238,0.297012737,0.883272433
10,6,144,0.299481591,0.218525698,0.917931121,0.38661368,0.296389257,0.883807226
10,6,145,0.298922723,0.218081065,0.918237136,0.38584202,0.295759778,0.884270592
10,6,146,0.29836916,0.217610037,0.918539682,0.385089398,0.295251077,0.884721635
10,6,147,0.297820827,0.21712981,0.918838817,0.384403067,0.294770356,0.885132181
10,6,148,0.297277573,0.216627208,0.919134639,0.383757504,0.294319996,0.885517674
10,6,149,0.296739162,0.216099901,0.919427291,0.383148395,0.293916894,0.885880803
10,6,150,0.296205367,0.215574635,0.919716909,0.382631005,0.293542932,0.8861888
10,6,151,0.295676091,0.21505948,0.920003561,0.382147056,0.293249378,0.886476513
10,6,152,0.295151315,0.214584778,0.92028727,0.381777979,0.292979072,0.886695689
10,6,153,0.294630983,0.214101586,0.920568079,0.381406797,0.292790835,0.886915901
